curso,grau,campus
ADMINISTRAÇÃO,Bacharelado,Angical do Piauí
MATEMÁTICA,Licenciatura,Angical do Piauí
FÍSICA,Licenciatura,Angical do Piauí
ADMINISTRAÇÃO,Bacharelado,Campo Maior
MATEMÁTICA,Licenciatura,Campo Maior
MATEMÁTICA,Licenciatura,Cocal
AGROECOLOGIA,Tecnológico,Cocal
QUÍMICA,Licenciatura,Cocal
MATEMÁTICA,Licenciatura,Corrente
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Corrente
GESTÃO AMBIENTAL,Tecnológico,Corrente
FÍSICA,Licenciatura,Corrente
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Floriano
MATEMÁTICA,Licenciatura,Floriano
CIÊNCIAS BIOLÓGICAS,Licenciatura,Floriano
ADMINISTRAÇÃO,Bacharelado,Oeiras
FÍSICA,Licenciatura,Oeiras
PROCESSOS GERENCIAIS,Tecnológico,Parnaíba
QUÍMICA,Licenciatura,Parnaíba
FÍSICA,Licenciatura,Parnaíba
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Parnaíba
ADMINISTRAÇÃO,Bacharelado,Paulistana
QUÍMICA,Licenciatura,Paulistana
ZOOTECNIA,Bacharelado,Paulistana
ADMINISTRAÇÃO,Bacharelado,Pedro II
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Pedro II
CIÊNCIAS BIOLÓGICAS,Licenciatura,Pedro II
FÍSICA,Licenciatura,Picos
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Picos
QUÍMICA,Licenciatura,Picos
DESIGN DE MODA,Tecnológico,Piripiri
MATEMÁTICA,Licenciatura,Piripiri
ADMINISTRAÇÃO,Bacharelado,Piripiri
CIÊNCIAS BIOLÓGICAS,Licenciatura,São João do Piauí
ADMINISTRAÇÃO,Bacharelado,São João do Piauí
FÍSICA,Licenciatura,São Raimundo Nonato
GASTRONOMIA,Tecnológico,São Raimundo Nonato
MATEMÁTICA,Licenciatura,São Raimundo Nonato
INFORMÁTICA,Licenciatura,Teresina Zona Sul
GASTRONOMIA,Tecnológico,Teresina
DESIGN DE MODA,Tecnológico,Teresina
ENGENHARIA CIVIL,Bacharelado,Teresina
GESTÃO DE RECURSOS HUMANOS,Tecnológico,Teresina Central
ALIMENTOS,Tecnológico,Teresina Central
SECRETARIADO,Tecnológico,Teresina Central
GEOPROCESSAMENTO,Tecnológico,Teresina Central
ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,Tecnológico,Teresina Central
FÍSICA,Licenciatura,Teresina Central
GESTÃO AMBIENTAL,Tecnológico,Teresina Central
ENGENHARIA MECÂNICA,Bacharelado,Teresina Central
CIÊNCIAS BIOLÓGICAS,Licenciatura,Teresina Central
MATEMÁTICA,Licenciatura,Teresina Central
RADIOLOGIA,Tecnológico,Teresina Central
QUÍMICA,Licenciatura,Teresina Central
CIÊNCIAS BIOLÓGICAS,Licenciatura,Uruçuí
MATEMÁTICA,Licenciatura,Uruçuí
AGRONOMIA,Bacharelado,Uruçuí
CIÊNCIAS BIOLÓGICAS,Licenciatura,Valença do Piauí
